open,high,low,close,volume,vwap,timestamp,transactions,otc
290.58,290.58,290.58,290.58,100,290.58,2024-03-21 10:15:00,1,
290.0,290.0,290.0,290.0,1383,290.0261,2024-03-21 12:00:00,54,
288.557,288.557,288.557,288.557,173,289.0445,2024-03-21 12:02:00,50,
290.52,290.52,290.52,290.52,251,290.52,2024-03-21 12:07:00,4,
290.23,290.23,290.09,290.09,1249,290.1674,2024-03-21 12:45:00,42,
290.5908,290.5908,290.5908,290.5908,500,290.5908,2024-03-21 12:58:00,1,
289.97,289.97,289.97,289.97,419,289.9925,2024-03-21 13:29:00,32,
289.97,290.0,288.071,288.265,101736,289.4676,2024-03-21 13:30:00,1271,
288.19,288.71,288.14,288.71,10104,288.4574,2024-03-21 13:31:00,259,
288.73,288.91,288.6532,288.785,6446,288.7656,2024-03-21 13:32:00,239,
288.785,288.785,288.35,288.42,13912,288.498,2024-03-21 13:33:00,321,
288.5,288.705,288.47,288.6913,5510,288.6041,2024-03-21 13:34:00,206,
288.82,289.18,288.79,289.0,12038,289.0224,2024-03-21 13:35:00,351,
288.96,288.96,288.5274,288.7,15123,288.7245,2024-03-21 13:36:00,376,
288.71,288.8513,288.25,288.34,11151,288.5987,2024-03-21 13:37:00,275,
288.34,288.4299,287.9,288.065,23454,288.1386,2024-03-21 13:38:00,537,
288.01,288.4,287.95,288.32,19569,288.1049,2024-03-21 13:39:00,514,
288.41,288.43,288.01,288.34,18761,288.2496,2024-03-21 13:40:00,430,
288.345,288.58,288.34,288.495,15538,288.4455,2024-03-21 13:41:00,322,
288.47,288.55,288.365,288.46,10627,288.4474,2024-03-21 13:42:00,244,
288.46,288.702,288.36,288.645,8705,288.5301,2024-03-21 13:43:00,322,
288.645,288.72,288.56,288.6,7261,288.6141,2024-03-21 13:44:00,163,
288.6375,288.93,288.6,288.93,7044,288.7313,2024-03-21 13:45:00,225,
